,precision,recall,f1-score,support
Insufficient_Weight,1.0,1.0,1.0,53.0
Normal_Weight,0.9482758620689655,0.9649122807017544,0.9565217391304348,57.0
Overweight_Level_I,0.9230769230769231,0.8727272727272727,0.897196261682243,55.0
Overweight_Level_II,0.9047619047619048,0.9827586206896551,0.9421487603305785,58.0
Obesity_Type_I,0.9701492537313433,0.9285714285714286,0.948905109489051,70.0
Obesity_Type_II,0.9836065573770492,1.0,0.9917355371900827,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.9617224880382775,0.9617224880382775,0.9617224880382775,0.9617224880382775
macro avg,0.9614100715737408,0.9619407124722137,0.9612507814054135,418.0
weighted avg,0.9622583411176298,0.9617224880382775,0.9615688410257848,418.0
