,precision,recall,f1-score,support
Insufficient_Weight,0.6825396825396826,0.8113207547169812,0.7413793103448276,53.0
Normal_Weight,0.6031746031746031,0.6666666666666666,0.6333333333333333,57.0
Overweight_Level_I,0.5909090909090909,0.7090909090909091,0.6446280991735537,55.0
Overweight_Level_II,0.6341463414634146,0.4482758620689655,0.5252525252525253,58.0
Obesity_Type_I,0.7692307692307693,0.7142857142857143,0.7407407407407407,70.0
Obesity_Type_II,0.8596491228070176,0.8166666666666667,0.8376068376068376,60.0
Obesity_Type_III,1.0,0.9692307692307692,0.984375,65.0
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
macro avg,0.7342356585892255,0.733648191818096,0.7296165494931168,418.0
weighted avg,0.7422515420454749,0.7368421052631579,0.7354184987457653,418.0
