,precision,recall,f1-score,support
Insufficient_Weight,0.9814814814814815,1.0,0.9906542056074766,53.0
Normal_Weight,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0
Overweight_Level_I,0.9433962264150944,0.9090909090909091,0.9259259259259259,55.0
Overweight_Level_II,0.9508196721311475,1.0,0.9747899159663865,58.0
Obesity_Type_I,1.0,0.9714285714285714,0.9855072463768116,70.0
Obesity_Type_II,0.9836065573770492,1.0,0.9917355371900827,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
macro avg,0.9723817654939149,0.9732147551696423,0.9726041877335456,418.0
weighted avg,0.9738498693721966,0.9736842105263158,0.9735745872200051,418.0
