,precision,recall,f1-score,support
Insufficient_Weight,0.875,0.9245283018867925,0.8990825688073395,53.0
Normal_Weight,0.6333333333333333,0.6666666666666666,0.6495726495726496,57.0
Overweight_Level_I,0.8076923076923077,0.7636363636363637,0.7850467289719626,55.0
Overweight_Level_II,0.7959183673469388,0.6724137931034483,0.7289719626168224,58.0
Obesity_Type_I,0.8493150684931506,0.8857142857142857,0.8671328671328671,70.0
Obesity_Type_II,0.890625,0.95,0.9193548387096774,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.8397129186602871,0.8397129186602871,0.8397129186602871,0.8397129186602871
macro avg,0.8359834395522473,0.8353678279461345,0.8344870968324031,418.0
weighted avg,0.8395954474251672,0.8397129186602871,0.8384968328960591,418.0
