,precision,recall,f1-score,support
Insufficient_Weight,0.9137931034482759,1.0,0.954954954954955,53.0
Normal_Weight,0.9423076923076923,0.8596491228070176,0.8990825688073395,57.0
Overweight_Level_I,0.8727272727272727,0.8727272727272727,0.8727272727272727,55.0
Overweight_Level_II,0.9122807017543859,0.896551724137931,0.9043478260869565,58.0
Obesity_Type_I,0.9705882352941176,0.9428571428571428,0.9565217391304348,70.0
Obesity_Type_II,0.9375,1.0,0.967741935483871,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.937799043062201,0.937799043062201,0.937799043062201,0.937799043062201
macro avg,0.9355995722188206,0.9366286638778212,0.9353749084580476,418.0
weighted avg,0.9383876318579897,0.937799043062201,0.9373915187723563,418.0
