,precision,recall,f1-score,support
Insufficient_Weight,0.5423728813559322,0.6037735849056604,0.5714285714285714,53.0
Normal_Weight,0.5897435897435898,0.40350877192982454,0.4791666666666667,57.0
Overweight_Level_I,0.5882352941176471,0.36363636363636365,0.449438202247191,55.0
Overweight_Level_II,0.3888888888888889,0.1206896551724138,0.18421052631578946,58.0
Obesity_Type_I,0.4807692307692308,0.7142857142857143,0.5747126436781609,70.0
Obesity_Type_II,0.53125,0.85,0.6538461538461539,60.0
Obesity_Type_III,0.9411764705882353,0.9846153846153847,0.9624060150375939,65.0
accuracy,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909
macro avg,0.5803480507805034,0.5772156392207659,0.5536012541743038,418.0
weighted avg,0.5836721550271688,0.5909090909090909,0.5622453856490662,418.0
