,precision,recall,f1-score,support
Insufficient_Weight,1.0,0.9433962264150944,0.970873786407767,53.0
Normal_Weight,0.8333333333333334,0.9649122807017544,0.8943089430894309,57.0
Overweight_Level_I,0.9090909090909091,0.9090909090909091,0.9090909090909091,55.0
Overweight_Level_II,0.9636363636363636,0.9137931034482759,0.9380530973451328,58.0
Obesity_Type_I,0.9852941176470589,0.9571428571428572,0.9710144927536232,70.0
Obesity_Type_II,1.0,1.0,1.0,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
macro avg,0.9559078176725235,0.9532786802020394,0.9536556129574809,418.0
weighted avg,0.9578026251823043,0.9545454545454546,0.9552778435537997,418.0
