,precision,recall,f1-score,support
Insufficient_Weight,0.875,0.9245283018867925,0.8990825688073395,53.0
Normal_Weight,0.6666666666666666,0.7719298245614035,0.7154471544715447,57.0
Overweight_Level_I,0.8888888888888888,0.7272727272727273,0.8,55.0
Overweight_Level_II,0.851063829787234,0.6896551724137931,0.7619047619047619,58.0
Obesity_Type_I,0.8441558441558441,0.9285714285714286,0.8843537414965986,70.0
Obesity_Type_II,0.9206349206349206,0.9666666666666667,0.943089430894309,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.861244019138756,0.861244019138756,0.861244019138756,0.861244019138756
macro avg,0.8637728785905078,0.8561770722840281,0.8565893885128654,418.0
weighted avg,0.8659200845587387,0.861244019138756,0.8603076361999317,418.0
