,precision,recall,f1-score,support
Insufficient_Weight,0.9444444444444444,0.9622641509433962,0.9532710280373832,53.0
Normal_Weight,0.8275862068965517,0.8421052631578947,0.8347826086956521,57.0
Overweight_Level_I,0.8867924528301887,0.8545454545454545,0.8703703703703703,55.0
Overweight_Level_II,0.9298245614035088,0.9137931034482759,0.9217391304347826,58.0
Obesity_Type_I,0.971830985915493,0.9857142857142858,0.9787234042553191,70.0
Obesity_Type_II,1.0,1.0,1.0,60.0
Obesity_Type_III,1.0,1.0,1.0,65.0
accuracy,0.9401913875598086,0.9401913875598086,0.9401913875598086,0.9401913875598086
macro avg,0.9372112359271696,0.9369174654013295,0.9369837916847867,418.0
weighted avg,0.9400946120330321,0.9401913875598086,0.9400666301796499,418.0
