,precision,recall,f1-score,support
Insufficient_Weight,0.9583333333333334,0.8679245283018868,0.9108910891089109,53.0
Normal_Weight,0.4945054945054945,0.7894736842105263,0.6081081081081081,57.0
Overweight_Level_I,0.775,0.5636363636363636,0.6526315789473685,55.0
Overweight_Level_II,0.7708333333333334,0.6379310344827587,0.6981132075471698,58.0
Obesity_Type_I,0.8142857142857143,0.8142857142857143,0.8142857142857143,70.0
Obesity_Type_II,0.9107142857142857,0.85,0.8793103448275862,60.0
Obesity_Type_III,0.9846153846153847,0.9846153846153847,0.9846153846153847,65.0
accuracy,0.7918660287081339,0.7918660287081339,0.7918660287081339,0.7918660287081339
macro avg,0.8154696493982209,0.7868381013618048,0.7925650610628917,418.0
weighted avg,0.8180733739944266,0.7918660287081339,0.7968500321876333,418.0
