,precision,recall,f1-score,support
Insufficient_Weight,1.0,1.0,1.0,53.0
Normal_Weight,0.9821428571428571,0.9649122807017544,0.9734513274336283,57.0
Overweight_Level_I,0.9629629629629629,0.9454545454545454,0.9541284403669725,55.0
Overweight_Level_II,0.9354838709677419,1.0,0.9666666666666667,58.0
Obesity_Type_I,1.0,0.9714285714285714,0.9855072463768116,70.0
Obesity_Type_II,0.9836065573770492,1.0,0.9917355371900827,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
accuracy,0.9808612440191388,0.9808612440191388,0.9808612440191388,0.9808612440191388
macro avg,0.980599464064373,0.9809158260286079,0.9805338971499522,418.0
weighted avg,0.9813865162173631,0.9808612440191388,0.9809000479888912,418.0
