,precision,recall,f1-score,support
Insufficient_Weight,0.8888888888888888,0.9056603773584906,0.897196261682243,53.0
Normal_Weight,0.609375,0.6842105263157895,0.6446280991735537,57.0
Overweight_Level_I,0.82,0.7454545454545455,0.780952380952381,55.0
Overweight_Level_II,0.8076923076923077,0.7241379310344828,0.7636363636363637,58.0
Obesity_Type_I,0.8648648648648649,0.9142857142857143,0.8888888888888888,70.0
Obesity_Type_II,0.9661016949152542,0.95,0.957983193277311,60.0
Obesity_Type_III,0.9846153846153847,0.9846153846153847,0.9846153846153847,65.0
accuracy,0.8492822966507177,0.8492822966507177,0.8492822966507177,0.8492822966507177
macro avg,0.8487911629966715,0.8440520684377725,0.8454143674608751,418.0
weighted avg,0.8523882349108152,0.8492822966507177,0.8498557592923501,418.0
