,precision,recall,f1-score,support
Insufficient_Weight,0.85,0.9622641509433962,0.9026548672566371,53.0
Normal_Weight,0.7837837837837838,0.5087719298245614,0.6170212765957447,57.0
Overweight_Level_I,0.7916666666666666,0.6909090909090909,0.7378640776699029,55.0
Overweight_Level_II,0.8,0.8275862068965517,0.8135593220338984,58.0
Obesity_Type_I,0.8148148148148148,0.9428571428571428,0.8741721854304636,70.0
Obesity_Type_II,0.9375,1.0,0.967741935483871,60.0
Obesity_Type_III,0.9558823529411765,1.0,0.9774436090225563,65.0
accuracy,0.854066985645933,0.854066985645933,0.854066985645933,0.854066985645933
macro avg,0.8476639454580631,0.8474840744901062,0.8414938962132962,418.0
weighted avg,0.8494897902405641,0.854066985645933,0.8458619363062222,418.0
