,precision,recall,f1-score,support
Insufficient_Weight,0.7704918032786885,0.8867924528301887,0.8245614035087719,53.0
Normal_Weight,0.7692307692307693,0.3508771929824561,0.4819277108433735,57.0
Overweight_Level_I,0.7,0.6363636363636364,0.6666666666666666,55.0
Overweight_Level_II,0.7058823529411765,0.6206896551724138,0.6605504587155964,58.0
Obesity_Type_I,0.7142857142857143,0.8571428571428571,0.7792207792207793,70.0
Obesity_Type_II,0.7631578947368421,0.9666666666666667,0.8529411764705882,60.0
Obesity_Type_III,0.9285714285714286,1.0,0.9629629629629629,65.0
accuracy,0.7679425837320574,0.7679425837320574,0.7679425837320574,0.7679425837320574
macro avg,0.7645171375778029,0.7597903515940312,0.7469758797698197,418.0
weighted avg,0.7661962019901101,0.7679425837320574,0.7523080021590691,418.0
