feature,mean_abs_shap
FCVC,0.04687933649361338
Age,0.04090275760995749
Gender_Male,0.03828547804879405
family_history_with_overweight_yes,0.030646102328879727
NCP,0.023233803452619516
CAEC,0.020034299979165598
TUE,0.019569348790907073
CALC,0.01948892516913584
FAF,0.016316002797139052
CH2O,0.014116496919223698
FAVC_yes,0.009873034288922944
MTRANS_Public_Transportation,0.007904590101305885
MTRANS_Automobile,0.006241569316693968
SCC_yes,0.0023145076872129254
MTRANS_Walking,0.0008015766975616972
SMOKE_yes,0.0005943752989315956
MTRANS_Motorbike,0.00023268166303927528
MTRANS_Bike,9.31848394697406e-05
